    101  !  (c)  2019  Oklahoma  Climatological  Survey  and  the  Oklahoma  Mesonet  -  all  rights  reserved
	21  2019  09  28  00  00  00
  STID    STNM    TIME      RELH      TAIR      WSPD      WVEC    WDIR      WDSD      WSSD      WMAX        RAIN          PRES    SRAD      TA9M      WS2M      TS10      TB10      TS05      TS25      TS60        TR05        TR25        TR60
  ERIC        35          0          28      12.3        3.8        3.8      205        5.2        0.4        5.2        0.00      941.85          4      13.7        2.1      -999        9.3      -999        5.8        6.4        -999        1.36        1.88
  EUFA        36          0          42      11.0        2.5        2.5      189        2.0        0.1        2.8        0.00      989.48          1      12.4        1.7        6.2      11.0        6.4        5.8        7.4        1.48        1.40        1.35
  EVAX      141          0          32        8.2        4.9        4.9      205        4.0        0.3        5.7        0.00      888.16        10      10.0        2.4        3.1        5.0        3.5        2.5        4.0        1.70        1.51        1.45
  FAIR        37          0          35      11.2        4.6        4.6      197        3.3        0.2        5.1        0.00      962.48          2      13.9        2.3        6.5        8.5        6.9        5.8        7.5        1.38        1.38        1.46
  FITT      127          0          37      10.6        3.5        3.5      217        6.7        0.5        4.5        0.00      972.66          2      11.9        2.3        7.3        8.4        8.4        6.7        7.8        1.67        1.50        1.46
  FORA        38          0          46        9.7        5.0        5.0      183        5.7        0.5        6.1        0.00      971.39          1      10.8        3.7        5.0        4.4        5.3        4.2        5.6        1.46        1.45        1.41
  FREE        39          0          33      10.9        5.8        5.7      221        3.0        0.2        6.3        0.00      947.17          3      13.2        2.9      -999        5.4      -999        4.3        6.3        1.90        1.82        1.71
  FTCB        40          0          41        9.2        4.0        4.0      210        2.3        0.1        4.1        0.00      963.43          3      12.2        1.9        5.8        7.2        6.5        4.8        5.8        1.41        1.53        1.66
  GOOD        41          0          32        8.2        4.4        4.4      218        1.2        0.2        4.8        0.00      895.67        10      11.6        1.9        3.8        6.0        5.7        3.6        5.4        1.75        1.66        1.46
  GRA2      117          0          53      10.1        4.5        4.5      186        1.3        0.2        4.8        0.00      973.66          5      12.5        2.3        8.0        8.5        8.9        7.1        9.0        1.35        1.36        1.37
  GUTH        43          0          37      12.1        3.6        3.6      198        7.7        0.4        4.6        0.00      972.69          2      13.0        2.2        6.5        7.3        7.2        5.5      -998        1.54        1.52        -998
  HASK        44          0          56        8.0        2.5        2.5      174        3.0        0.1        2.7        0.00      991.20          1      11.5        1.4        5.3        8.8        5.9        5.6        7.7        1.49        1.44        1.39
  HECT      113          0          42      10.8        3.2        3.2      197        7.9        0.4        4.1        0.00      983.73          1      11.7        1.9        6.6        7.5        6.7        5.4        6.1        1.49        1.43        1.44
  HINT        45          0          36      10.7        4.9        4.9      198        8.5        0.6        6.6        0.00      954.41          2      11.6        3.2        6.1        6.6        7.0        4.7        6.0        1.62        1.49        1.81
